                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.2.0"                  "aarch64-macos-22.10.1"                                 "CRMATH"                               "20221109"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                     Teff                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                                 center_T                               center_Rho                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     3832                  1.0000000000000000E+005                  5.0000000000000000E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.4531384418170180E-002                  8.4454782405631867E-002                  3.9064931751463014E-008                  9.9999999996481204E-001                  9.7177887088860504E-001                  8.4454782405631867E-002                  3.9064931751463014E-008                  9.9999999996481204E-001                  9.7177887088860504E-001                 -1.5137232949267662E-001                 -4.6893196226384696E+001                 -6.4316780490534446E+000                 -1.5137210173213975E-001                 -2.1494364851203998E-001                 -1.0172934192034995E+000                 -4.6893196226384696E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6193256971905339E+003                  3.7496842046155172E+000                  7.0871868968090079E-001                 -1.4952611427071419E-001                 -5.1478305501895007E-002                  4.5410242383069228E+000                  0.0000000000000000E+000                  1.3697943926695222E+007                  7.7157896501172829E+001                  6.2135931553871715E-001                  8.4976166940752373E-001                  1.2973015013634566E+000                  6.9949831984982191E-001                  2.8035068298606969E-001                  2.9911965384772400E-003                  9.3805016811448760E-003                  3.4468833607860672E-003                  9.3805276451495254E-003                  6.9990097963261400E-001                  2.8001922641172811E-001                                        0                                        3 
                                       2                                     1937                  2.2000000000000000E+005                  5.0791812460476242E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.3855659585739803E-002                  8.3352492590058114E-002                  7.8129685198277649E-008                  9.9999999996481237E-001                  9.7171763407424949E-001                  8.3352492590058114E-002                  7.8129685198277649E-008                  9.9999999996481237E-001                  9.7171763407424949E-001                 -1.5291717132488625E-001                 -4.6895611193565699E+001                 -6.4337695645536197E+000                 -1.5291694385086538E-001                 -2.1640683814135198E-001                 -1.0193566045268794E+000                 -4.6895611193565699E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6161464924874235E+003                  3.7494384274780828E+000                  7.0617328946413038E-001                 -1.5108871336272589E-001                 -5.1768050773030899E-002                  4.5416037288491946E+000                  0.0000000000000000E+000                  1.3696657034841880E+007                  7.7163165452603693E+001                  6.2136249301403068E-001                  8.4975838174263552E-001                  1.2973102592096346E+000                  6.9949192755152156E-001                  2.8035617078310721E-001                  2.9824418891696704E-003                  9.3804986735156175E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9989991113695271E-001                  2.8001983779464018E-001                                        0                                        3 
                                       3                                     1253                  3.6400000000000000E+005                  5.1583624920952493E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.2642765416509709E-002                  8.1882772835996487E-002                  7.8129685420322254E-008                  9.9999999996481237E-001                  9.7167942194029877E-001                  8.1882772835996487E-002                  7.8129685420322254E-008                  9.9999999996481237E-001                  9.7167942194029877E-001                 -1.5440766399828593E-001                 -4.6898690962575493E+001                 -6.4323469328601046E+000                 -1.5440743499330528E-001                 -2.1773307755782628E-001                 -1.0218919815463161E+000                 -4.6898690962575493E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6146756175271184E+003                  3.7493246703770930E+000                  7.0434147775924949E-001                 -1.5221673581389381E-001                 -5.2104547796635786E-002                  4.5422767228964043E+000                  0.0000000000000000E+000                  1.3695709746346973E+007                  7.7182660068465637E+001                  6.2136633132609598E-001                  8.4975442867540651E-001                  1.2973208212332319E+000                  6.9948420334451689E-001                  2.8036269443007406E-001                  2.9719242462108906E-003                  9.3804950694007221E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9989862802507519E-001                  2.8002056638484690E-001                                        0                                        3 
                                       4                                      933                  5.3680000000000000E+005                  5.2375437381428744E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  8.1279867088687313E-002                  7.8963873511763427E-002                  7.8129685420322254E-008                  9.9999999996481237E-001                  9.7161516119128977E-001                  7.8963873511763427E-002                  7.8129685420322254E-008                  9.9999999996481237E-001                  9.7161516119128977E-001                 -1.5578188418140509E-001                 -4.6901754193950040E+001                 -6.4306616941787293E+000                 -1.5578165355746582E-001                 -2.1886554444529474E-001                 -1.0248094065220064E+000                 -4.6901754193950040E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6130851290505016E+003                  3.7492016288572145E+000                  7.0234004419930152E-001                 -1.5345256940372920E-001                 -5.2476381551797124E-002                  4.5430203904067268E+000                  0.0000000000000000E+000                  1.3693777564155541E+007                  7.7204579494697057E+001                  6.2137098200339957E-001                  8.4974965611137443E-001                  1.2973336025284161E+000                  6.9947484460299891E-001                  2.8037050044057593E-001                  2.9592051891672911E-003                  9.3804907198649957E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9989708775510084E-001                  2.8002143552105235E-001                                        0                                        3 
                                       5                                      819                  7.4416000000000000E+005                  5.3167249841904987E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.9783631810033478E-002                  7.8963873511763649E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7153791872412321E-001                  7.8963873511763649E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7153791872412321E-001                 -1.5676744531535536E-001                 -4.6905201439632300E+001                 -6.4288700841662783E+000                 -1.5676721321192646E-001                 -2.1948487057759108E-001                 -1.0281449321094518E+000                 -4.6905201439632300E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6113140136365901E+003                  3.7490645728513328E+000                  7.0016260277276932E-001                 -1.5480108957664424E-001                 -5.2876529626490761E-002                  4.5438206865561144E+000                  0.0000000000000000E+000                  1.3691518954876468E+007                  7.7233013088391388E+001                  6.2137657830265525E-001                  8.4974394401684339E-001                  1.2973489490478864E+000                  6.9946357852251684E-001                  2.8037972725778637E-001                  2.9440669243905424E-003                  9.3804855436718845E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9989524031942574E-001                  2.8002247519156914E-001                                        0                                        3 
                                       6                                      819                  9.9299200000000000E+005                  5.3959062302381238E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.8241940913604174E-002                  7.6066401489320368E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7145291241302778E-001                  7.6066401489320368E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7145291241302778E-001                 -1.5785160787637109E-001                 -4.6909803665635422E+001                 -6.4266711478839254E+000                 -1.5785137401168139E-001                 -2.2008506718043575E-001                 -1.0323571900779598E+000                 -4.6909803665635422E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6093897436161124E+003                  3.7489156160875048E+000                  6.9787529525074976E-001                 -1.5622217540410516E-001                 -5.3289159012564619E-002                  4.5446459453282619E+000                  0.0000000000000000E+000                  1.3688515601570547E+007                  7.7269442215737612E+001                  6.2138339336243797E-001                  8.4973699393470414E-001                  1.2973676372599305E+000                  6.9944986179496849E-001                  2.8039091784923309E-001                  2.9255389287199370E-003                  9.3804792093349111E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9989302538268205E-001                  2.8002371909753754E-001                                        0                                        3 
                                       7                                      819                  1.2915903999999999E+006                  5.4750874762857489E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.6375191239881055E-002                  7.6066401489320368E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7136023152860496E-001                  7.6066401489320368E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7136023152860496E-001                 -1.5841206603658689E-001                 -4.6915118247369755E+001                 -6.4243583560691455E+000                 -1.5841183061954217E-001                 -2.1997076385371941E-001                 -1.0373227966677425E+000                 -4.6915118247369755E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6073947517623483E+003                  3.7487611308224942E+000                  6.9558979147748612E-001                 -1.5764680035754999E-001                 -5.3692500959266802E-002                  4.5454526292216668E+000                  0.0000000000000000E+000                  1.3685036349959351E+007                  7.7313548335100975E+001                  6.2139158088340418E-001                  8.4972868482783470E-001                  1.2973900413043915E+000                  6.9943337498145985E-001                  2.8040415211195191E-001                  2.9035760423069936E-003                  9.3804716768058835E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9989037339731563E-001                  2.8002521335141606E-001                                        0                                        3 
                                       8                                      816                  1.6499084800000000E+006                  5.5542687223333731E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.4572342859506105E-002                  7.3191278262315362E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7125600666156409E-001                  7.3191278262315362E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7125600666156409E-001                 -1.5894965369024780E-001                 -4.6921197048361776E+001                 -6.4218719348595021E+000                 -1.5894941662826551E-001                 -2.1969389115048332E-001                 -1.0432470475520363E+000                 -4.6921197048361776E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6054151923151439E+003                  3.7486077862536056E+000                  6.9343047980548955E-001                 -1.5899707280306044E-001                 -5.4060948044244078E-002                  4.5461895233916207E+000                  0.0000000000000000E+000                  1.3681038883872587E+007                  7.7367036704215906E+001                  6.2140153620040695E-001                  8.4971858389584076E-001                  1.2974172852393795E+000                  6.9941333066981359E-001                  2.8042022247074683E-001                  2.8767957011672772E-003                  9.3804624583449618E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9988720015778960E-001                  2.8002701012321674E-001                                        0                                        3 
                                       9                                      816                  2.0798901760000000E+006                  5.6334499683809982E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.2469608552061776E-002                  7.0339461879593335E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7114841222641712E-001                  7.0339461879593335E-002                  7.8129685642366859E-008                  9.9999999996481237E-001                  9.7114841222641712E-001                 -1.5933919664687549E-001                 -4.6928166745927243E+001                 -6.4192107367854794E+000                 -1.5933895791376762E-001                 -2.1909109551893963E-001                 -1.0503052626972493E+000                 -4.6928166745927243E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6035648232793983E+003                  3.7484644003134235E+000                  6.9154977338621204E-001                 -1.6017655665509545E-001                 -5.4363918089897392E-002                  4.5467954634829280E+000                  0.0000000000000000E+000                  1.3676446802073706E+007                  7.7429789755539687E+001                  6.2141364018356238E-001                  8.4970631213988601E-001                  1.2974504033520591E+000                  6.9938896106819848E-001                  2.8043970486970360E-001                  2.8442191642686753E-003                  9.3804511861549159E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9988340679038941E-001                  2.8002917477480926E-001                                        0                                        3 
