                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-macos-22.6.2"                                 "CRMATH"                               "20221109"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                         virial_thm_P_avg                       virial_thm_rel_err               log_total_angular_momentum                              num_retries                                num_iters                    num_solver_iterations 
                                       1                                     2446                  1.1475506210984938E+002                  2.0597718523607966E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  6.0532133996864514E+000                  4.0282121926468173E-001                  7.8142461643639429E-008                  9.9999999333849532E-001                  9.9999996048402462E-001                  4.0282121926468173E-001                  7.8142461643639429E-008                  9.9999999333849532E-001                  9.9999996048402462E-001                  4.3942614566974161E+000                 -2.9107355634239472E+001                  7.8093840067823117E-001                  4.3943672378667751E+000                  2.2419360247246658E+000                  4.3911924879909803E+000                 -2.9107355634239472E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5655117334946595E+033                  1.1390906617942831E+034                  1.2038040098105806E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5784611354781607E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3144236710074038E+004                  4.4882619494013714E+000                  4.3017186602941244E+000                  6.9698859220881582E-001                  4.2201817019411827E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5310188280906916E+000                  7.8292043867299643E-001                  1.6492705973802863E+001                  1.6492705973802863E+001                  7.8292043867299643E-001                  7.5310188280906916E+000                  6.1731914427087986E-001                  8.4952965161789140E-001                  1.2980640817017139E+000                  2.3000381153677949E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9905909226355278E-001                  2.8039544872331579E-001                  1.2825841694192184E-004                  9.3143100282468937E-003                  3.4468833607860824E-003                  9.3805276451495497E-003                  1.0494264055297819E+001                  4.2021375867327952E+000                 -4.2110624394957613E-012                 -1.1375608319033921E+001                 -1.1375608319033921E+001                  2.4940169842041810E+050                  2.0239077236493422E-011                 -9.8999999999999986E+001                                        0                                        6                                        6 
                                       2                                     1525                  2.5246113664166862E+002                  2.1389530984084213E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.0260433866469043E+000                  3.3395382344452690E-001                  7.8142477027817802E-008                  9.9999999206978962E-001                  9.9999996312793915E-001                  3.3395382344452690E-001                  7.8142477027817802E-008                  9.9999999206978962E-001                  9.9999996312793915E-001                  4.3636760976366311E+000                 -2.9119207920455626E+001                  7.7881463489634717E-001                  4.3637890424715327E+000                  2.2140242041025511E+000                  4.3605881104007418E+000                 -2.9119207920455626E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4424909468577931E+033                  1.1381715844308901E+034                  1.2018643458176477E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5780869762684353E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3224423658398795E+004                  4.4881226562160395E+000                  4.3010964070210846E+000                  6.9695605194296029E-001                  4.2202467824728931E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5308752676817745E+000                  7.8209571530299127E-001                  1.6491778081531130E+001                  1.6491778081531130E+001                  7.8209571530299127E-001                  7.5308752676817745E+000                  6.1732250301285874E-001                  8.4952632587173960E-001                  1.2980733286883113E+000                  2.3003236611409161E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9905245468836574E-001                  2.8040010344756278E-001                  1.1553213646322077E-004                  9.3135476434381727E-003                  3.4468833607860772E-003                  9.3805276451495393E-003                  1.0494230240396304E+001                  4.2021611164251400E+000                  7.0125460487930861E-013                 -1.2154124273875379E+001                 -1.1454481986925385E+001                  2.4929377842147988E+050                  1.7043155670810731E-011                 -9.8999999999999986E+001                                        0                                        4                                        4 
                                       3                                     1094                  4.1770842607985173E+002                  2.2181343444560464E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.3616502235114591E+000                  3.5522865628178407E-001                  7.8142477027817802E-008                  9.9999999206978962E-001                  9.9999996311055717E-001                  3.5522865628178407E-001                  7.8142477027817802E-008                  9.9999999206978962E-001                  9.9999996311055717E-001                  4.3368954765484347E+000                 -2.9127157688437681E+001                  7.7755342983904974E-001                  4.3370152560146824E+000                  2.1871988406654692E+000                  4.3338078085636011E+000                 -2.9127157688437681E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3408127823080535E+033                  1.1394769424759909E+034                  1.2019304891993863E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5790578303692297E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3326630629093321E+004                  4.4879910311521494E+000                  4.3003654556886612E+000                  6.9685382640452853E-001                  4.2204512335497570E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5307545576046770E+000                  7.8146330789167995E-001                  1.6491052060426998E+001                  1.6491052060426998E+001                  7.8146330789167995E-001                  7.5307545576046770E+000                  6.1732579493176942E-001                  8.4952303683973274E-001                  1.2980823420467442E+000                  2.3005284586367562E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9904588974636195E-001                  2.8040501936730816E-001                  1.0479238596158014E-004                  9.3127440922118956E-003                  3.4468833607860776E-003                  9.3805276451495410E-003                  1.0494192272429975E+001                  4.2021892188939889E+000                 -6.0563439258819072E-011                 -1.0217789470220076E+001                 -1.0193303122442975E+001                  2.4922083748647262E+050                  1.8914547606528795E-011                 -9.8999999999999986E+001                                        0                                        3                                        3 
                                       4                                     1023                  6.1600517340567137E+002                  2.2973155905036711E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.4987723619154938E+000                  3.6613455760514574E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996311387762E-001                  3.6613455760514574E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996311387762E-001                  4.3120947717213154E+000                 -2.9131073982441677E+001                  7.7746109559265486E-001                  4.3122215623742406E+000                  2.1590997250558153E+000                  4.3090305479619726E+000                 -2.9131073982441677E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2583285884812611E+033                  1.1391173147512300E+034                  1.2019357289333473E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5784883419387677E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3436326516491587E+004                  4.4878884420153433E+000                  4.2996337030716854E+000                  6.9669312836965169E-001                  4.2207726296195105E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5306931538167898E+000                  7.8107440676834594E-001                  1.6490621652793209E+001                  1.6490621652793209E+001                  7.8107440676834594E-001                  7.5306931538167898E+000                  6.1732939948747145E-001                  8.4951940270110315E-001                  1.2980921562031849E+000                  2.3006410763945961E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9903863518273901E-001                  2.8041079550484821E-001                  9.4960257697222528E-005                  9.3118009045229620E-003                  3.4468833607860772E-003                  9.3805276451495393E-003                  1.0494149454406706E+001                  4.2022228721080017E+000                  4.7549247195033689E-013                 -1.2322856354470643E+001                 -1.0196484332102852E+001                  2.4918751132614210E+050                  1.5669186944657673E-011                 -9.8999999999999986E+001                                        0                                        4                                        4 
                                       5                                     1023                  8.5396127019665505E+002                  2.3764968365512957E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.5504008146655659E+000                  3.6923436201374588E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996313781458E-001                  3.6923436201374588E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996313781458E-001                  4.2897686450133019E+000                 -2.9128612331055766E+001                  7.7922844555398563E-001                  4.2899026673232488E+000                  2.1288023292886442E+000                  4.2867603440845334E+000                 -2.9128612331055766E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1604186830680477E+033                  1.0991380691603753E+034                  1.1136759166801694E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1394255739207891E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3540966248790202E+004                  4.4878525499135842E+000                  4.2990194404691904E+000                  6.9645778127192359E-001                  4.2212433238149671E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5307357144345399E+000                  7.8107476619773708E-001                  1.6490675752298557E+001                  1.6490675752298557E+001                  7.8107476619773708E-001                  7.5307357144345399E+000                  6.1733354380984962E-001                  8.4951518645482360E-001                  1.2981033760577436E+000                  2.3006754320233600E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9903021748389949E-001                  2.8041789206477086E-001                  8.5890103233947154E-005                  9.3106425162690042E-003                  3.4468833607860776E-003                  9.3805276451495410E-003                  1.0494100901877633E+001                  4.2022633416496005E+000                  2.3773970121170237E-011                 -1.0623898287445456E+001                 -1.0399811382936598E+001                  2.4921481311589558E+050                  1.7291404277726313E-011                 -9.8999999999999986E+001                                        0                                        3                                        3 
                                       6                                     1023                  1.1395085863458353E+003                  2.4556780825989208E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.5485451896605147E+000                  3.6923436201374588E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996319342677E-001                  3.6923436201374588E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996319342677E-001                  4.2712940150054308E+000                 -2.9119416086710462E+001                  7.8292463546066760E-001                  4.2714350556907377E+000                  2.0963488019890111E+000                  4.2683813225521030E+000                 -2.9119416086710462E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0781162522247858E+033                  1.0911194281870012E+034                  1.1146807578980240E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1403626037092934E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3640699419902099E+004                  4.4878878889446252E+000                  4.2985277409243619E+000                  6.9614125343742739E-001                  4.2218763794839589E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5308882870028748E+000                  7.8147442841520776E-001                  1.6491231312297074E+001                  1.6491231312297074E+001                  7.8147442841520776E-001                  7.5308882870028748E+000                  6.1733833326503063E-001                  8.4951027030274273E-001                  1.2981162689730565E+000                  2.3006081306891655E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9902040075851235E-001                  2.8042661695573823E-001                  7.7981174820099814E-005                  9.3092180260366687E-003                  3.4468833607860772E-003                  9.3805276451495393E-003                  1.0494045352429486E+001                  4.2023122223349896E+000                  5.1162360873838200E-011                 -1.0291049423325056E+001                 -1.0945051853828021E+001                  2.4930539376536089E+050                  1.6685135988671286E-011                 -9.8999999999999986E+001                                        0                                        3                                        3 
                                       7                                     1023                  1.4821653657248519E+003                  2.5348593286465455E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.5234984243634528E+000                  3.6613455760514574E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996327731244E-001                  3.6613455760514574E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996327731244E-001                  4.2582364095024552E+000                 -2.9103265764496506E+001                  7.8858166774294514E-001                  4.2583836597190752E+000                  2.0624062414918218E+000                  4.2554609099990088E+000                 -2.9103265764496506E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0181347320170042E+033                  1.0851415107262024E+034                  1.1143356987458014E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1419326611132376E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3737400488141364E+004                  4.4879954148731480E+000                  4.2981496275497317E+000                  6.9573714489306659E-001                  4.2226845965726811E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5311547483661485E+000                  7.8227458574699682E-001                  1.6492294460075048E+001                  1.6492294460075048E+001                  7.8227458574699682E-001                  7.5311547483661485E+000                  6.1734387963619775E-001                  8.4950452971889212E-001                  1.2981311193361966E+000                  2.3004423960357961E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9900893538064768E-001                  2.8043729157167641E-001                  7.1634317727542761E-005                  9.3074738049578939E-003                  3.4468833607860776E-003                  9.3805276451495410E-003                  1.0493980967780065E+001                  4.2023715310182457E+000                  1.1435547483027629E-012                 -1.1941743038476027E+001                 -1.0903604731943839E+001                  2.4946122144121395E+050                  1.5592383211180151E-011                 -9.8999999999999986E+001                                        0                                        4                                        4 
                                       8                                     1023                  1.8933535009796715E+003                  2.6140405746941702E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.4884053755949278E+000                  3.6302737823142944E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996339364261E-001                  3.6302737823142944E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996339364261E-001                  4.2511105414698962E+000                 -2.9080631764422410E+001                  7.9606007473483698E-001                  4.2512628266705015E+000                  2.0273546334243009E+000                  4.2485084124980581E+000                 -2.9080631764422410E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9828072428511498E+033                  1.0809646069423359E+034                  1.1138599209192385E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1440796669338860E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3834542775953254E+004                  4.4881684606069063E+000                  4.2978574385339599E+000                  6.9524495891766380E-001                  4.2236689685234863E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5315277554524860E+000                  7.8343412745307772E-001                  1.6493818662848934E+001                  1.6493818662848934E+001                  7.8343412745307772E-001                  7.5315277554524860E+000                  6.1735040691195342E-001                  8.4949772776978538E-001                  1.2981485182246666E+000                  2.3001921451734759E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9899534704056066E-001                  2.8045040870337284E-001                  6.6906717557157518E-005                  9.3053275663277178E-003                  3.4468833607860772E-003                  9.3805276451495393E-003                  1.0493905257329665E+001                  4.2024438004303244E+000                  1.6585141148214607E-012                 -1.1780280828055870E+001                 -1.0849771673936864E+001                  2.4967794373673259E+050                  1.5510970837607322E-011                 -9.8999999999999986E+001                                        0                                        4                                        4 
                                       9                                     1023                  2.3867792632854553E+003                  2.6932218207417953E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  5.4563539609146421E+000                  3.6302737823142944E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996354275655E-001                  3.6302737823142944E-001                  7.8142477249862407E-008                  9.9999999206978962E-001                  9.9999996354275655E-001                  4.2496923185274902E+000                 -2.9052777496590910E+001                  8.0499588975396608E-001                  4.2498482773331894E+000                  1.9921635300095228E+000                  4.2472854164709002E+000                 -2.9052777496590910E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9720827555391819E+033                  1.0791577757581460E+034                  1.1132825340634209E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1466599550717638E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3936771324137386E+004                  4.4883924426151811E+000                  4.2976068032266843E+000                  6.9467167724747536E-001                  4.2248155318638636E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5319870463980481E+000                  7.8486362948195332E-001                  1.6495697179945889E+001                  1.6495697179945889E+001                  7.8486362948195332E-001                  7.5319870463980481E+000                  6.1735814790049570E-001                  8.4948962085913304E-001                  1.2981690844547831E+000                  2.2998837498041389E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9897914791018245E-001                  2.8046644881283378E-001                  6.3705200573380171E-005                  9.3026985746440839E-003                  3.4468833607860776E-003                  9.3805276451495410E-003                  1.0493814965619459E+001                  4.2025321719534912E+000                  2.8334659924238759E-012                 -1.1547681995442208E+001                 -1.0770801254541828E+001                  2.4994391077925590E+050                  1.5522053176757551E-011                 -9.8999999999999986E+001                                        0                                        4                                        4 
